ProjectID,WorkerPhone,WorkerSkill
P001,617-555-3001,Carpentry
P001,617-555-3001,Framing
P001,617-555-3002,Electrical
P001,617-555-3002,Wiring
P001,617-555-3003,Project Management
P001,617-555-3003,Planning
P002,617-555-3001,Carpentry
P002,617-555-3001,Concrete
P002,617-555-3004,Welding
P002,617-555-3004,Steel Fixing
P003,617-555-3002,Electrical
P003,617-555-3002,Inspection
P003,617-555-3004,Welding
P003,617-555-3004,Carpentry
P004,617-555-3001,Concrete
P004,617-555-3001,Framing
P004,617-555-3005,Accounting
P004,617-555-3005,Procurement
P005,617-555-3003,Planning
P005,617-555-3003,Management
P005,617-555-3002,Wiring
P005,617-555-3002,Inspection
P006,617-555-3004,Welding
P006,617-555-3004,Concrete
P006,617-555-3001,Framing
P006,617-555-3001,Carpentry
P007,617-555-3005,Procurement
P007,617-555-3005,Accounting
P007,617-555-3003,Management
P007,617-555-3003,Planning
